rodada,data,dia da semana,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,perdedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,edição
31,2018-10-27,Sábado,19:01,Corinthians,Bahia,4-2-3-1,4-2-3-1,J. Ribeiro Ventura,E. Alves Moreira,Corinthians,Bahia,Neo Química Arena,2,1,SP,BA,2018
31,2018-10-27,Sábado,19:59,Athletico-PR,Botafogo-RJ,4-2-3-1,4-2-3-1,T. Retzalff Nunes,J. Mannarino,Athletico-PR,Botafogo-RJ,Estádio Joaquim Américo Guimarães,2,1,PR,RJ,2018
31,2018-10-27,Sábado,20:59,Cruzeiro,Parana,4-2-3-1,4-3-3,L. Venker de Menezes,L. Cavalcanti,Cruzeiro,Parana, Mineirão,3,1,MG,PR,2018
31,2018-10-29,Segunda-feira,20:01,Ceara,Atletico-MG,4-2-3-1,4-2-3-1,L. Cirne Lima de Lorenzi,L. Culpi,Ceara,Atletico-MG,Arena Castelão,2,1,CE,MG,2018
32,2018-11-03,Sábado,17:00,Fluminense,Vasco,3-4-1-2,4-2-3-1,M. de Oliveira Santos,A. Valentim do Carmo Neto,Vasco,Fluminense, Maracanã,0,1,RJ,RJ,2018
32,2018-11-03,Sábado,17:00,Atletico-MG,Gremio,4-3-3,4-2-3-1,L. Culpi,Renato Gaúcho,Gremio,Atletico-MG,Estádio Raimundo Sampaio,0,1,MG,RS,2018
32,2018-11-03,Sábado,18:59,Palmeiras,Santos,4-2-3-1,4-3-3,L. Scolari,A. Stival,Palmeiras,Santos,Allianz Parque,3,2,SP,SP,2018
32,2018-11-04,Domingo,16:59,Botafogo-RJ,Corinthians,4-2-3-1,4-2-3-1,J. Mannarino,J. Ribeiro Ventura,Botafogo-RJ,Corinthians,Estádio Nilton Santos,1,0,RJ,SP,2018
32,2018-11-04,Domingo,17:00,America-MG,Cruzeiro,4-2-3-1,4-2-3-1,A. Batista,L. Venker de Menezes,Cruzeiro,America-MG,Estádio Raimundo Sampaio,1,2,MG,MG,2018
32,2018-11-04,Domingo,17:00,Sao Paulo,Flamengo,3-1-4-2,4-2-3-1,D. Aguirre Camblor,D. Silvestre Júnior,Empate,Empate, Morumbi,2,2,SP,RJ,2018
32,2018-11-04,Domingo,17:01,Parana,Vitoria,4-1-4-1,4-1-4-1,L. Cavalcanti,P. Carpegiani,Empate,Empate,Vila Capanema,1,1,PR,BA,2018
32,2018-11-04,Domingo,18:59,Internacional,Athletico-PR,4-1-4-1,4-2-3-1,O. Hellmann,T. Retzalff Nunes,Internacional,Athletico-PR,Estádio José Pinheiro Borda,2,1,RS,PR,2018
32,2018-11-04,Domingo,19:00,Bahia,Chapecoense,4-2-3-1,4-2-3-1,E. Alves Moreira,C. dos Santos Oliveira,Bahia,Chapecoense,Itaipava Arena Fonte Nova,1,0,BA,SC,2018
32,2018-11-05,Segunda-feira,20:01,Sport,Ceara,4-2-3-1,4-2-3-1,M. Mendes,L. Cirne Lima de Lorenzi,Sport,Ceara,Adelmar da Costa Carvalho,1,0,PE,CE,2018
33,2018-11-10,Sábado,17:00,America-MG,Parana,4-2-3-1,4-1-4-1,A. Batista,L. Cavalcanti,Parana,America-MG,Estádio Raimundo Sampaio,0,1,MG,PR,2018
33,2018-11-10,Sábado,17:02,Corinthians,Sao Paulo,4-1-4-1,3-1-4-2,J. Ribeiro Ventura,D. Aguirre Camblor,Empate,Empate,Neo Química Arena,1,1,SP,SP,2018
33,2018-11-10,Sábado,19:00,Botafogo-RJ,Flamengo,4-2-3-1,4-1-4-1,J. Mannarino,D. Silvestre Júnior,Botafogo-RJ,Flamengo,Estádio Nilton Santos,2,1,RJ,RJ,2018
33,2018-11-10,Sábado,19:01,Athletico-PR,Cruzeiro,4-2-3-1,4-2-3-1,T. Retzalff Nunes,L. Venker de Menezes,Athletico-PR,Cruzeiro,Estádio Joaquim Américo Guimarães,2,0,PR,MG,2018
33,2018-11-11,Domingo,16:59,Vitoria,Bahia,4-2-3-1,4-2-3-1,J. Burse,E. Alves Moreira,Empate,Empate, Barradão,2,2,BA,BA,2018
33,2018-11-11,Domingo,17:00,Atletico-MG,Palmeiras,4-2-3-1,4-3-3,L. Culpi,L. Scolari,Empate,Empate,Estádio Raimundo Sampaio,1,1,MG,SP,2018
